player_id,player_name,team,position,season,fantasy_total
4241464,Mac Jones,SF,QB,2024,96.08
4887558,Emanuel Wilson,GB,RB,2024,96.0
3055899,Harrison Butker,KC,K,2024,96.0
3116407,Mason Rudolph,PIT,QB,2024,95.8
-16003,Bears D/ST,CHI,DST,2024,95.0
4372561,Isaac Guerendo,SF,RB,2024,94.2
4428209,Ricky Pearsall,SF,WR,2024,93.5
4260394,Aidan O'Connell,LV,QB,2024,93.48
4240021,Cam Akers,MIN,RB,2024,93.2
-16004,Bengals D/ST,CIN,DST,2024,93.0
4695883,Jalen Coker,CAR,WR,2024,92.56
-16006,Cowboys D/ST,DAL,DST,2024,92.0
3915411,Ty Johnson,BUF,RB,2024,91.7
4430539,Brenton Strange,JAX,TE,2024,91.1
-16027,Buccaneers D/ST,TB,DST,2024,91.0
3128452,Jordan Akins,CLE,TE,2024,91.0
3134353,Tim Patrick,DET,WR,2024,90.4
4037235,Greg Dortch,ARI,WR,2024,90.3
3051876,Evan Engram,DEN,TE,2024,89.5
3932905,Diontae Johnson,BAL,WR,2024,89.1
-16020,Jets D/ST,NYJ,DST,2024,89.0
4360234,Evan McPherson,CIN,K,2024,88.0
-16022,Cardinals D/ST,ARI,DST,2024,88.0
4036133,T.J. Hockenson,MIN,TE,2024,86.5
3121409,Noah Brown,WSH,WR,2024,86.3
-16015,Dolphins D/ST,MIA,DST,2024,86.0
4685247,Braelon Allen,NYJ,RB,2024,85.2
4212909,David Moore,CAR,WR,2024,85.1
3051738,Marquez Valdes-Scantling,SEA,WR,2024,84.5
-16001,Falcons D/ST,ATL,DST,2024,84.0
-16025,49ers D/ST,SF,DST,2024,84.0
-16028,Commanders D/ST,WSH,DST,2024,83.0
4035676,Zack Moss,CIN,RB,2024,81.9
3116389,Samaje Perine,CIN,RB,2024,81.4
4369863,Cedric Tillman,CLE,WR,2024,80.4
2976592,Sterling Shepard,TB,WR,2024,80.3
3924327,Drew Lock,NYG,QB,2024,80.14
4032473,Rashid Shaheed,NO,WR,2024,79.8
4576297,AJ Barner,SEA,TE,2024,78.5
3045144,Tyler Boyd,TEN,WR,2024,78.3
4426386,Roschon Johnson,CHI,RB,2024,77.4
4045163,Miles Sanders,DAL,RB,2024,77.3
-16019,Giants D/ST,NYG,DST,2024,77.0
3122840,Deshaun Watson,CLE,QB,2024,76.72
4361370,Chris Olave,NO,WR,2024,76.7
15965,Dustin Hopkins,CLE,K,2024,75.0
-16011,Colts D/ST,IND,DST,2024,74.0
4431588,Ja'Tavion Sanders,CAR,TE,2024,73.2
-16010,Titans D/ST,TEN,DST,2024,71.0
2576414,Raheem Mostert,LV,RB,2024,70.9
3895856,Christian Kirk,HOU,WR,2024,70.9
-16005,Browns D/ST,CLE,DST,2024,70.0
16731,Brandin Cooks,DAL,WR,2024,69.6
4430871,Sean Tucker,TB,RB,2024,68.7
4429148,Theo Johnson,NYG,TE,2024,68.1
4361577,Dyami Brown,JAX,WR,2024,67.4
4426339,Spencer Rattler,NO,QB,2024,67.28
4431280,Troy Franklin,DEN,WR,2024,67.1
-16013,Raiders D/ST,LV,DST,2024,67.0
-16018,Saints D/ST,NO,DST,2024,66.0
3921690,Josh Oliver,MIN,TE,2024,65.8
4242557,Colby Parkinson,LAR,TE,2024,65.4
3045523,Kendrick Bourne,NE,WR,2024,65.1
4428331,Rashee Rice,KC,WR,2024,64.9
4039057,Lil'Jordan Humphrey,DEN,WR,2024,64.3
3051926,Gus Edwards,FA,RB,2024,64.1
3127586,Jeremy McNichols,WSH,RB,2024,63.8
3121427,Curtis Samuel,BUF,WR,2024,63.7
3930066,Van Jefferson,TEN,WR,2024,63.6
3128720,Nick Chubb,CLE,RB,2024,63.3
3118892,Justin Watson,HOU,WR,2024,62.9
4371733,Kenneth Gainwell,PIT,RB,2024,62.6
4360438,Brandon Aiyuk,SF,WR,2024,62.4
3975763,Greg Joseph,NYJ,K,2024,62.0
2310331,Tyler Johnson,LAR,WR,2024,61.1
4360086,Josh Whyle,TEN,TE,2024,60.8
4035671,Tyler Huntley,MIA,QB,2024,60.66
4242519,Anders Carlson,NYJ,K,2024,60.0
4241374,Grant Calcaterra,PHI,TE,2024,59.8
3930086,Dawson Knox,BUF,TE,2024,59.1
14012,Andy Dalton,CAR,QB,2024,58.96
16002,Kyle Juszczyk,SF,RB,2024,57.6
3051392,Ezekiel Elliott,FA,RB,2024,57.5
4372096,Luke Schoonmaker,DAL,TE,2024,57.1
4361529,Isiah Pacheco,KC,RB,2024,56.9
3045138,Mike Williams,LAC,WR,2024,56.8
2973405,Kalif Raymond,DET,WR,2024,56.5
4372780,Tommy Tremble,CAR,TE,2024,56.4
2983509,Dare Ogunbowale,HOU,RB,2024,56.0
4567096,John Metchie III,HOU,WR,2024,55.4
3128444,Matthew Wright,CAR,K,2024,55.0
4569603,Malik Washington,MIA,WR,2024,54.8
4362478,Emari Demercado,ARI,RB,2024,54.7
4243537,Gabe Davis,JAX,WR,2024,53.9
4241401,Trey Sermon,IND,RB,2024,53.8
4597500,Adonai Mitchell,IND,WR,2024,53.76
3120348,JuJu Smith-Schuster,KC,WR,2024,53.1
4361765,Brayden Narveson,FA,K,2024,53.0
4569382,Jordan Whittington,LAR,WR,2024,52.5
4242512,Malik Willis,GB,QB,2024,51.8
4036335,Cedrick Wilson Jr.,NO,WR,2024,49.94
4426844,Elijah Higgins,ARI,TE,2024,49.2
2971618,Nelson Agholor,BAL,WR,2024,49.1
4569682,Audric Estime,DEN,RB,2024,48.7
2576399,Nick Vannett,TEN,TE,2024,48.5
12460,Graham Gano,NYG,K,2024,48.0
-16017,Patriots D/ST,NE,DST,2024,48.0
3117251,Christian McCaffrey,SF,RB,2024,47.8
4036211,DJ Turner,LV,WR,2024,47.1
4429275,Trey Benson,ARI,RB,2024,47.0
4695404,Isaiah Davis,NYJ,RB,2024,45.9
2576980,Marcus Mariota,WSH,QB,2024,45.76
2578570,Jacoby Brissett,ARI,QB,2024,45.24
3052096,Johnny Mundt,JAX,TE,2024,45.2
4051167,John Parker Romo,NE,K,2024,45.0
4430802,Darnell Washington,PIT,TE,2024,45.0
4429676,Tyler Goodson,IND,RB,2024,44.4
4360423,Michael Penix Jr.,ATL,QB,2024,44.1
3911853,Adam Trautman,DEN,TE,2024,43.8
4360238,Dameon Pierce,HOU,RB,2024,43.5
4383440,Nate Adkins,DEN,TE,2024,43.5
3149687,Chris Brooks,GB,RB,2024,42.2
4428963,Cade York,CIN,K,2024,42.0
4361409,Jahan Dotson,PHI,WR,2024,41.9
4362477,Derius Davis,LAC,WR,2024,40.1
3050481,Tanner Hudson,CIN,TE,2024,38.5
3115306,Josh Reynolds,FA,WR,2024,38.4
15880,Robert Woods,HOU,WR,2024,38.3
15807,Cordarrelle Patterson,PIT,RB,2024,37.5
2980453,Jamaal Williams,FA,RB,2024,37.1
4369466,Ryan Miller,TB,WR,2024,36.8
4429086,Michael Mayer,LV,TE,2024,36.6
3127310,Drew Sample,CIN,TE,2024,36.5
4241424,Tylan Wallace,BAL,WR,2024,36.3
3043234,Zane Gonzalez,WSH,K,2024,36.0
-16030,Jaguars D/ST,JAX,DST,2024,36.0
3139602,D'Ernest Johnson,JAX,RB,2024,35.9
4427834,Erick All Jr.,CIN,TE,2024,35.8
4240657,Michael Carter,ARI,RB,2024,35.8
4692835,Jalen Brooks,DAL,WR,2024,35.7
4426407,Trey Palmer,TB,WR,2024,35.2
4249836,Pierre Strong Jr.,CLE,RB,2024,35.2
14993,Greg Zuerlein,NYJ,K,2024,35.0
4242392,Brock Wright,DET,TE,2024,35.0
4426948,Luke McCaffrey,WSH,WR,2024,34.8
4250764,Stone Smartt,NYJ,TE,2024,34.8
4372505,Payne Durham,TB,TE,2024,34.5
4426496,Cade Stover,HOU,TE,2024,34.3
4360231,Lucas Krull,DEN,TE,2024,34.2
4429096,Blake Corum,LAR,RB,2024,33.5
